arm,market,seed,realization_type,sharpe_ratio,annualized_return,max_drawdown,win_rate,final_equity
BENCH_EQUAL_WEIGHT,Brazil,fixed,deterministic,-0.8449185419405415,-0.1268863817301613,-0.1408858051262002,0.4820717131474104,87358.38735307503
BENCH_EQUAL_WEIGHT,China,fixed,deterministic,0.7096620309260016,0.1496699979728148,-0.1238539156915478,0.4752066115702479,114332.44730416848
BENCH_EQUAL_WEIGHT,France,fixed,deterministic,-0.2843150623674661,-0.0458985957279863,-0.1246636997081791,0.4921875,95339.01019425582
BENCH_EQUAL_WEIGHT,India,fixed,deterministic,1.4996219457899318,0.1518735644519619,-0.0616214884832144,0.5528455284552846,114800.23894360352
BENCH_EQUAL_WEIGHT,UK,fixed,deterministic,-0.3675068507100026,-0.0495337098987028,-0.0626466540350422,0.4409448818897638,95008.3143992996
BENCH_EQUAL_WEIGHT,US,fixed,deterministic,1.67183291635267,0.3131394286193809,-0.0988176190645126,0.5436507936507936,131313.94286193847
BENCH_MOMENTUM_21,Brazil,fixed,deterministic,-0.6737372246992138,-0.1149297949556691,-0.1464418183356052,0.4382470119521912,88549.91054600905
BENCH_MOMENTUM_21,China,fixed,deterministic,0.805722787610051,0.1974277459623545,-0.1334768857598432,0.4504132231404958,118889.68748549272
BENCH_MOMENTUM_21,France,fixed,deterministic,0.6350162400577867,0.0973083806738313,-0.1427378655004383,0.53125,109892.69754138566
BENCH_MOMENTUM_21,India,fixed,deterministic,0.4685549191361032,0.0649628373511659,-0.108958684005597,0.540650406504065,106336.81121051026
BENCH_MOMENTUM_21,UK,fixed,deterministic,-0.4170028925635075,-0.0631592727169999,-0.1401968771504355,0.5196850393700787,93635.57627231408
BENCH_MOMENTUM_21,US,fixed,deterministic,1.120273970662859,0.2162261109070589,-0.1061432502374712,0.5277777777777778,121622.61109070588
HIST_PRIOR,Brazil,fixed,deterministic,0.209161873069363,0.0196432750928448,-0.1688908341147521,0.5139442231075697,101956.45679988668
HIST_PRIOR,China,fixed,deterministic,0.7620662364873662,0.1481365135928087,-0.1653173919363926,0.4628099173553719,114185.99305307388
HIST_PRIOR,France,fixed,deterministic,0.4440007301382431,0.0520899973286506,-0.0832420963708712,0.51953125,105293.83347176554
HIST_PRIOR,India,fixed,deterministic,2.171703670762984,0.3696360681707205,-0.0805830568985274,0.5447154471544715,135941.69475183103
HIST_PRIOR,UK,fixed,deterministic,0.5020634689140608,0.142569445163001,-0.3318037322130263,0.547244094488189,114377.86657640456
HIST_PRIOR,US,fixed,deterministic,1.1525862987311923,0.1353663245893832,-0.1031332434754041,0.5674603174603174,113536.63245893858
MEM_RANDOM,Brazil,1001,retrieval_seed,-0.5129626221635134,-0.0803885866167951,-0.1273176879170878,0.4820717131474104,91991.7286398201
MEM_RANDOM,Brazil,1002,retrieval_seed,-0.010855922708021,-0.0132375327671941,-0.1336314890312155,0.5139442231075697,98681.4649276962
MEM_RANDOM,Brazil,1003,retrieval_seed,0.209161873069363,0.0196432750928448,-0.1688908341147521,0.5139442231075697,101956.45679988668
MEM_RANDOM,China,1001,retrieval_seed,-0.0140002673225735,-0.0225452140846922,-0.1959823200095529,0.4504132231404958,97833.96758626746
